,lat,long,date,fire_bool
56569,48.444,-120.033,2014-07-17,t
56595,48.458,-120.052,2014-07-17,t
56605,48.467,-120.103,2014-07-17,t
56606,48.467,-120.103,2014-07-17,t
56607,48.467,-120.103,2014-07-17,t
56612,48.472,-120.065,2014-07-17,t
56613,48.472,-120.065,2014-07-17,t
56614,48.472,-120.065,2014-07-17,t
56615,48.474,-120.05,2014-07-17,t
76354,39.106,-119.797,2014-07-17,t
76355,39.106,-119.797,2014-07-17,t
76356,39.106,-119.797,2014-07-17,t
80668,43.117,-118.211,2014-07-17,t
80669,43.117,-118.211,2014-07-17,t
80670,43.117,-118.211,2014-07-17,t
80990,43.419,-118.402,2014-07-17,t
80991,43.419,-118.402,2014-07-17,t
80992,43.419,-118.402,2014-07-17,t
81002,43.438,-118.406,2014-07-17,t
81003,43.438,-118.406,2014-07-17,t
81004,43.438,-118.406,2014-07-17,t
81045,43.488,-118.383,2014-07-17,t
81046,43.488,-118.383,2014-07-17,t
81070,43.512,-118.387,2014-07-17,t
81293,44.004,-115.877,2014-07-17,t
81302,44.01,-115.905,2014-07-17,t
81303,44.01,-115.905,2014-07-17,t
81304,44.01,-115.905,2014-07-17,t
81318,44.023,-115.884,2014-07-17,t
81319,44.023,-115.884,2014-07-17,t
81320,44.023,-115.884,2014-07-17,t
81321,44.026,-115.916,2014-07-17,t
81322,44.026,-115.916,2014-07-17,t
81775,44.489,-120.353,2014-07-17,t
81776,44.489,-120.353,2014-07-17,t
81777,44.489,-120.353,2014-07-17,t
81801,44.505,-120.39,2014-07-17,t
81802,44.505,-120.39,2014-07-17,t
81803,44.505,-120.39,2014-07-17,t
81821,44.518,-120.384,2014-07-17,t
81822,44.518,-120.384,2014-07-17,t
81828,44.524,-120.386,2014-07-17,t
81845,44.532,-120.38,2014-07-17,t
81846,44.532,-120.38,2014-07-17,t
81847,44.532,-120.38,2014-07-17,t
81848,44.535,-120.375,2014-07-17,t
81849,44.535,-120.375,2014-07-17,t
81850,44.535,-120.375,2014-07-17,t
81861,44.538,-121.605,2014-07-17,t
81862,44.538,-121.605,2014-07-17,t
81927,44.637,-121.711,2014-07-17,t
81928,44.637,-121.711,2014-07-17,t
81929,44.637,-121.711,2014-07-17,t
81936,44.641,-121.737,2014-07-17,t
81945,44.646,-121.709,2014-07-17,t
81946,44.646,-121.709,2014-07-17,t
81947,44.646,-121.709,2014-07-17,t
81957,44.65,-121.7,2014-07-17,t
81958,44.65,-121.7,2014-07-17,t
81959,44.65,-121.7,2014-07-17,t
81980,44.713,-117.695,2014-07-17,t
81981,44.713,-117.695,2014-07-17,t
81990,44.721,-117.707,2014-07-17,t
82197,44.939,-119.528,2014-07-17,t
82209,44.945,-119.542,2014-07-17,t
